sampleID,Abiotrophia_defectiva,Acidovorax_ebreus,Acinetobacter_junii,Acinetobacter_unclassified,Actinobacillus_unclassified,Actinomyces_georgiae,Actinomyces_graevenitzii,Actinomyces_johnsonii,Actinomyces_massiliensis,Actinomyces_naeslundii,Actinomyces_odontolyticus,Actinomyces_oris,Actinomyces_sp_HPA0247,Actinomyces_sp_ICM39,Actinomyces_sp_ICM47,Actinomyces_sp_oral_taxon_172,Actinomyces_sp_oral_taxon_448,Actinomyces_viscosus,Aggregatibacter_actinomycetemcomitans,Aggregatibacter_aphrophilus,Aggregatibacter_segnis,Aggregatibacter_unclassified,Alloprevotella_rava,Alloprevotella_tannerae,Alloprevotella_unclassified,Alloscardovia_omnicolens,Anaeroglobus_geminatus,Atopobium_parvulum,Atopobium_rimae,Atopobium_sp_ICM58,Bacteroides_pyogenes,Bacteroidetes_oral_taxon_274,Bifidobacterium_dentium,Bifidobacterium_longum,Bulleidia_extructa,C2likevirus_unclassified,Campylobacter_concisus,Campylobacter_gracilis,Campylobacter_rectus,Campylobacter_showae,candidate_division_TM7_single_cell_isolate_TM7b,candidate_division_TM7_single_cell_isolate_TM7c,Candidatus_Prevotella_conceptionensis,Capnocytophaga_gingivalis,Capnocytophaga_granulosa,Capnocytophaga_ochracea,Capnocytophaga_unclassified,Cardiobacterium_hominis,Catonella_morbi,Centipeda_periodontii,Corynebacterium_durum,Corynebacterium_matruchotii,Cryptobacterium_curtum,Dialister_invisus,Eikenella_corrodens,Enhydrobacter_aerosaccus,Escherichia_coli,Escherichia_unclassified,Eubacteriaceae_bacterium_ACC19a,Eubacteriaceae_bacterium_CM5,Eubacteriaceae_bacterium_OBRC8,Eubacteriaceae_noname_unclassified,Eubacterium_brachy,Eubacterium_infirmum,Eubacterium_saphenum,Eubacterium_yurii,Filifactor_alocis,Fretibacterium_fastidiosum,Fusobacterium_necrophorum,Fusobacterium_nucleatum,Fusobacterium_periodonticum,Gemella_bergeri,Gemella_haemolysans,Gemella_morbillorum,Gemella_sanguinis,Gemella_unclassified,Granulicatella_adiacens,Granulicatella_elegans,Granulicatella_unclassified,Haemophilus_haemolyticus,Haemophilus_influenzae,Haemophilus_parahaemolyticus,Haemophilus_parainfluenzae,Haemophilus_paraphrohaemolyticus,Haemophilus_pittmaniae,Haemophilus_sputorum,Human_herpesvirus_4,Human_herpesvirus_6B,Human_herpesvirus_7,Johnsonella_ignava,Kingella_denitrificans,Kingella_kingae,Kingella_oralis,Kingella_unclassified,Lachnoanaerobaculum_saburreum,Lachnospiraceae_bacterium_ICM7,Lachnospiraceae_bacterium_oral_taxon_082,Lachnospiraceae_oral_taxon_107,Lactobacillus_fermentum,Lactobacillus_gasseri,Lactobacillus_phage_Lc_Nu,Lactobacillus_rhamnosus,Lautropia_mirabilis,Leptotrichia_buccalis,Leptotrichia_goodfellowii,Leptotrichia_hofstadii,Leptotrichia_shahii,Leptotrichia_sp_oral_taxon_215,Leptotrichia_unclassified,Leptotrichia_wadei,Lymphocryptovirus_unclassified,Megasphaera_micronuciformis,Mitsuokella_unclassified,Moraxella_catarrhalis,Murine_osteosarcoma_virus,Mycoplasma_orale,Neisseria_bacilliformis,Neisseria_cinerea,Neisseria_elongata,Neisseria_flavescens,Neisseria_gonorrhoeae,Neisseria_lactamica,Neisseria_macacae,Neisseria_meningitidis,Neisseria_polysaccharea,Neisseria_sicca,Neisseria_sp_oral_taxon_014,Neisseria_subflava,Neisseria_unclassified,Olsenella_uli,Oribacterium_sinus,Oribacterium_sp_ACB1,Oribacterium_sp_ACB8,Oribacterium_sp_oral_taxon_078,Parascardovia_denticolens,Parvimonas_micra,Parvimonas_sp_oral_taxon_110,Parvimonas_unclassified,Peptostreptococcus_stomatis,Peptostreptococcus_unclassified,Porphyromonas_catoniae,Porphyromonas_endodontalis,Porphyromonas_gingivalis,Porphyromonas_sp_oral_taxon_279,Prevotella_buccae,Prevotella_denticola,Prevotella_histicola,Prevotella_intermedia,Prevotella_loescheii,Prevotella_maculosa,Prevotella_marshii,Prevotella_melaninogenica,Prevotella_micans,Prevotella_multiformis,Prevotella_nanceiensis,Prevotella_nigrescens,Prevotella_oralis,Prevotella_oris,Prevotella_oulorum,Prevotella_pallens,Prevotella_pleuritidis,Prevotella_saccharolytica,Prevotella_salivae,Prevotella_sp_C561,Prevotella_sp_oral_taxon_306,Prevotella_veroralis,Propionibacterium_acnes,Propionibacterium_phage_PAS50,Propionibacterium_propionicum,Pseudomonas_stutzeri,Pseudomonas_unclassified,Ralstonia_pickettii,Ralstonia_unclassified,Riemerella_unclassified,Roseolovirus_unclassified,Rothia_aeria,Rothia_dentocariosa,Rothia_mucilaginosa,Rothia_unclassified,Scardovia_unclassified,Scardovia_wiggsiae,Selenomonas_artemidis,Selenomonas_flueggei,Selenomonas_infelix,Selenomonas_noxia,Selenomonas_sputigena,Shuttleworthia_satelles,Simonsiella_muelleri,Slackia_unclassified,Solobacterium_moorei,Staphylococcus_hominis,Stomatobaculum_longum,Streptococcus_agalactiae,Streptococcus_anginosus,Streptococcus_australis,Streptococcus_constellatus,Streptococcus_cristatus,Streptococcus_gordonii,Streptococcus_infantis,Streptococcus_intermedius,Streptococcus_mitis_oralis_pneumoniae,Streptococcus_mutans,Streptococcus_oligofermentans,Streptococcus_parasanguinis,Streptococcus_peroris,Streptococcus_phage_Cp_1,Streptococcus_phage_Dp_1,Streptococcus_phage_EJ_1,Streptococcus_pseudopneumoniae,Streptococcus_pyogenes,Streptococcus_salivarius,Streptococcus_sanguinis,Streptococcus_sobrinus,Streptococcus_sp_M334,Streptococcus_sp_SK140,Streptococcus_thermophilus,Streptococcus_tigurinus,Streptococcus_vestibularis,Tannerella_forsythia,Thiomonas_unclassified,Torque_teno_virus,Torque_teno_virus_12,Treponema_denticola,Treponema_lecithinolyticum,Treponema_maltophilum,Treponema_medium,Treponema_socranskii,Treponema_vincentii,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_sp_6_1_27,Veillonella_sp_HPA0037,Veillonella_sp_oral_taxon_158,Veillonella_sp_oral_taxon_780,Veillonella_unclassified
SC01,6686.26,0.0,0.0,0.0,0.0,0.0,3240.55,0.0,0.0,597.239,2665.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.343,4958.6,0.0,1373.71,28207.0,0.0,0.0,0.0,18652.4,3047.64,0.0,0.0,219.706,0.0,0.0,0.0,0.0,3857.3,0.0,0.0,0.0,72562.2,72608.0,0.0,618.496,0.0,0.0,8421.77,0.0,160.885,0.0,0.0,49.3574,367.487,3363.29,0.0,0.0,0.0,397.626,0.0,0.0,0.0,0.0,16779.3,48901.3,0.0,0.0,958.175,0.0,0.0,6615.93,28032.1,0.0,3007.74,20631.3,2343.97,0.0,8985.96,7169.78,2826.62,359.625,135.114,0.0,26252.3,0.0,0.0,2408.9,14550.2,0.0,11822.5,0.0,0.0,0.0,0.0,0.0,0.0,2505.14,30.721,358.606,0.0,0.0,0.0,0.0,919.3,560.84,0.0,0.0,76.7297,0.0,3538.88,1745.56,1448.98,5323.76,0.0,0.0,0.0,3871.43,0.0,0.0,0.0,2371.63,748.369,0.0,346.667,488.624,0.0,1216.32,0,1321.15,14872.0,0.0,5413.3,0.0,0.0,0.0,0.0,11597.1,0.0,54263.3,8032.59,19219.3,1468.2,4529.38,0.0,211797.0,24.1691,4305.45,11310.7,0.0,1474.61,1070.28,741.963,64098.1,2106.06,0.0,16416.9,4846.64,0.0,4029.4,5569.23,181959.0,1012.34,978.849,63629.4,0,0.0,228.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.28,5597.77,18696.7,0.0,660.283,7935.33,0.0,2316.89,0.0,3498.84,0.0,29.265,0.0,87.9406,50460.8,0.0,1501.25,0.0,0.0,4964.57,16429.8,2004.58,2266.07,10537.6,6273.63,7933.0,66.9747,1697.37,5101.87,472.463,0.0,0.0,0.0,0.0,0.0,6790.5,35606.4,0.0,0.0,0.0,0.0,2674.04,0.0,0.0,0.0,0.0,0.0,0.0,650.528,0.0,0.0,183.744,0.0,6097.46,5372.24,17398.4,0.0,0.0,0.0,0.0,56289.4
SC05,136.454,0.0,0.0,0.0,941.218,0.0,9516.73,0.0,0.0,823.213,405.374,772.022,0.0,0.0,0.0,0.0,0.0,1299.06,5496.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19058.9,353.684,0.0,339.39,3989.58,4273.13,0.0,1112.91,700.387,708.199,4201.0,0.0,117.341,0.0,33.5734,399.557,0.0,263.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26020.7,0.0,0.0,0.0,0.0,0.0,23839.4,10699.1,0.0,0.0,1607.04,2728.75,0.0,0.0,3840.16,0.0,5390.69,1081.0,683.102,1413.07,6138.45,237.174,0.0,0.0,0.0,0.0,3796.78,0.0,0.0,0.0,56.3435,161.717,260.942,0.0,708.864,0.0,0.0,0.0,0.0,0.0,14503.4,0.0,32.0775,0.0,0.0,0.0,1413.57,1294.4,0.0,54687.6,1257.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.005,0.0,285.872,0,0.0,5773.46,0.0,1668.2,0.0,0.0,0.0,0.0,1106.59,0.0,8303.6,2831.63,0.0,0.0,6303.65,0.0,0.0,0.0,94.7368,419016.0,19328.8,0.0,0.0,0.0,935.401,0.0,0.0,0.0,5285.81,0.0,14443.9,5880.66,25363.5,4330.8,0.0,48737.4,0,0.0,1411.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2365.1,30068.5,45756.9,0.0,0.0,1454.29,326.094,3947.2,0.0,9817.39,94.903,0.0,0.0,0.0,21199.1,0.0,347.202,0.0,698.892,0.0,503.601,0.0,190.969,0.0,10834.6,22343.4,15042.2,0.0,79042.2,900.664,0.0,0.0,0.0,189.307,1313.52,136575.0,9348.19,0.0,0.0,0.0,0.0,1143.99,3421.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.764,0.0,112315.0,76493.1,15633.7,0.0,39837.8,0.0,0.0,209972.0
SC07,25673.3,0.0,0.0,0.0,0.0,41.0137,4679.13,522.224,1820.91,0.0,1361.6,145.459,0.0,0.0,0.0,0.0,0.0,225.193,0.0,0.0,4437.12,0.0,0.0,25236.7,0.0,0.0,1778.87,35472.5,4083.79,0.0,0.0,1373.58,0.0,0.0,1330.02,0.0,2312.56,273.085,0.0,2329.12,411273.0,423139.0,1939.36,1987.0,1339.44,215.768,9382.21,143.93,5167.47,210.163,0.0,18136.7,0.0,4021.38,1707.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37628.9,26269.2,0.0,0.0,0.0,0.0,0.0,13410.0,16687.5,0.0,7388.84,82570.8,4573.16,0.0,11336.3,32752.1,6615.18,1193.73,1570.24,0.0,24481.9,0.0,0.0,1500.95,10530.6,0.0,4468.97,396.381,2196.91,0.0,0.0,0.0,972.866,1894.02,245.063,2242.51,0.0,0.0,0.0,0.0,501.335,3766.89,189.784,4266.96,840.144,0.0,12116.1,1675.45,0.0,7473.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7466.03,0.0,0.0,543.623,319.703,0.0,1695.83,0,0.0,32406.4,0.0,7024.3,0.0,0.0,268.754,0.0,1730.47,0.0,32375.4,8026.21,15885.8,14289.6,6877.82,0.0,156261.0,247.101,0.0,11337.1,3277.53,142.656,3140.73,3622.45,198013.0,12524.0,0.0,16591.2,4507.69,0.0,10890.5,10782.3,115661.0,0.0,2793.52,24370.0,0,0.0,7627.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.168,0.0,4692.89,10575.4,25327.6,0.0,0.0,2395.86,1444.4,1524.39,2353.58,11629.8,1649.46,0.0,0.0,477.39,49500.2,0.0,769.835,0.0,0.0,7120.34,1805.62,11051.3,9660.13,21500.9,4204.8,8653.13,0.0,8354.83,57275.3,484.522,0.0,0.0,38220.2,0.0,0.0,3096.92,11150.4,0.0,0.0,0.0,0.0,3494.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.7,40.759,417.78,18922.4,5773.51,57123.5,0.0,0.0,40324.6,0.0,88949.6
SC09,531.682,0.0,0.0,0.0,0.0,0.0,254.603,0.0,0.0,0.0,399.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.88,0.0,0.0,712.85,0.0,0.0,5411.48,1735.23,0.0,0.0,1156.66,0.0,0.0,0.0,592.136,12318.2,0.0,0.0,144.449,104913.0,118511.0,0.0,135.439,0.0,504.943,4005.06,0.0,150.844,0.0,0.0,0.0,404.768,1971.43,0.0,0.0,375.413,0.0,0.0,0.0,0.0,0.0,2889.76,3533.83,0.0,0.0,0.0,0.0,0.0,3251.71,2976.18,0.0,117.613,2443.05,0.0,0.0,866.018,437.417,1980.54,0.0,453.79,0.0,6554.96,0.0,339.277,0.0,49505.8,0.0,129180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.591,0.0,1934.42,1245.4,0.0,34040.6,515.6,0.0,0.0,525.191,0.0,0.0,0.0,0.0,0.0,0.0,47.7623,81.7675,0.0,621.878,0,0.0,5719.75,0.0,17170.5,0.0,0.0,0.0,0.0,664.409,0.0,2191.35,535.848,0.0,1542.05,1466.2,0.0,7380.68,0.0,0.0,22537.0,2309.83,0.0,1077.12,0.0,36909.1,1212.56,0.0,3261.11,4841.24,0.0,5947.91,21551.6,24547.4,604.634,241.33,6707.06,0,0.0,5310.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537.89,5566.58,8027.94,0.0,1590.69,4338.23,188.143,1894.6,0.0,21873.9,834.629,0.0,0.0,0.0,21112.6,0.0,355.456,0.0,98.8185,0.0,0.0,793.551,0.0,1727.19,1937.81,9137.13,0.0,335.111,7602.05,0.0,0.0,0.0,0.0,406.609,0.0,864.468,23080.8,0.0,0.0,0.0,0.0,0.0,0.0,378.029,0.0,0.0,0.0,0.0,301.106,0.0,0.0,117.226,0.0,38766.0,95599.3,4985.98,0.0,0.0,0.0,0.0,39231.0
SC10,7094.5,0.0,0.0,0.0,513.159,0.0,5047.44,0.0,0.0,0.0,1741.47,43.0045,0.0,0.0,0.0,0.0,0.0,143.073,0.0,0.0,512.952,127.98,0.0,20189.6,0.0,0.0,0.0,38396.0,28528.5,0.0,0.0,68.6418,760.228,0.0,0.0,0.0,2519.28,139.971,0.0,0.0,206843.0,221120.0,968.014,1976.14,0.0,319.846,7549.77,0.0,1496.06,0.0,243.141,0.0,4674.05,24000.6,244.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8249.0,65115.2,0.0,0.0,0.0,0.0,0.0,9092.14,20643.6,0.0,1286.41,2052.43,2233.75,0.0,3639.87,3712.86,5291.41,2846.15,1904.4,0.0,54668.6,0.0,12776.9,1395.37,1391.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4803.48,0.0,0.0,0.0,3037.6,488.556,516.881,1865.53,97.3803,1565.74,0.0,0.0,0.0,0.0,332.458,326.048,3053.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7273.13,0.0,0.0,2629.27,408.543,0.0,3920.85,0,544.172,9041.28,0.0,3132.92,0.0,0.0,271.673,0.0,1313.91,0.0,20264.8,8475.81,15802.1,4177.84,443.277,0.0,90930.9,1329.0,11361.9,88056.6,0.0,1495.44,3207.14,162.094,247621.0,2227.34,0.0,17949.8,23916.5,0.0,14813.0,7545.63,106341.0,0.0,1447.06,35362.5,0,0.0,2614.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3201.56,4853.92,5481.62,13280.3,0.0,0.0,44582.6,72.3633,0.0,528.252,6242.47,0.0,1678.42,0.0,156.305,63384.3,0.0,0.0,0.0,0.0,2822.38,192.486,134.596,3025.2,3127.96,13355.6,5452.89,0.0,114.748,8124.95,0.0,0.0,0.0,0.0,0.0,0.0,7340.53,30096.3,0.0,0.0,0.0,0.0,1357.12,0.0,0.0,0.0,0.0,0.0,789.174,0.0,0.0,423.635,41.5572,0.0,11437.1,12887.9,110625.0,0.0,0.0,0.0,0.0,163670.0
SC11,11387.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3368.58,40.1787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.715,146.786,0.0,4001.62,14892.7,0.0,0.0,0.0,58641.1,23787.4,0.0,0.0,708.038,0.0,0.0,715.359,0.0,1151.79,0.0,0.0,36.4287,55194.3,65710.7,0.0,427.859,0.0,567.502,3551.08,0.0,2443.94,0.0,0.0,52.6787,3214.47,37195.5,0.0,0.0,241.072,0.0,0.0,0.0,0.0,95.8932,32944.7,22765.6,5408.05,0.0,1657.33,0.0,0.0,8906.28,5000.73,0.0,7728.06,21233.1,374.465,0.0,13241.5,27881.2,3967.69,1506.08,1073.4,0.0,40192.3,0.0,0.0,2568.76,185.358,0.0,0.0,876.789,0.0,0.0,0.0,0.0,29.8215,1215.54,0.0,765.538,0.0,0.0,0.0,0.0,1413.75,360.537,1462.5,0.0,441.073,0.0,2709.83,1333.22,0.0,10867.0,0.0,0.0,0.0,476.609,0.0,925.182,0.0,341.787,0.0,0.0,61.7859,1645.18,0.0,1691.26,0,0.0,4739.3,0.0,876.789,0.0,0.0,155.893,0.0,1778.04,0.0,10710.6,4932.87,7643.42,3376.08,6633.95,0.0,31473.5,2779.47,5293.77,273756.0,1514.29,657.324,1655.54,1836.61,119236.0,3198.94,0.0,6980.02,61734.5,0.0,35018.5,8891.46,79578.3,7446.1,1813.76,51366.2,0,0.0,22241.7,0.0,0.0,92.8574,0.0,0.0,0.0,0.0,0.0,0.0,1310.36,2484.83,2661.08,0.0,0.0,56768.6,69.1074,690.359,0.0,4489.66,495.359,2231.26,0.0,0.0,41932.3,0.0,69.6431,0.0,0.0,3628.94,1596.79,1662.33,1894.65,9483.96,20099.0,8514.67,2036.26,0.0,12143.8,0.0,0.0,0.0,0.0,0.0,0.0,17952.7,78530.8,76.4288,0.0,0.0,0.0,856.431,594.823,0.0,0.0,0.0,0.0,519.109,1106.25,25.8929,964.11,806.967,120.536,24444.9,9009.14,24208.8,0.0,0.0,0.0,12052.2,159375.0
SC15,4709.34,0.0,0.0,0.0,0.0,0.0,923.643,492.886,0.0,836.249,1437.24,0.0,0.0,0.0,0.0,0.0,0.0,472.383,0.0,0.0,0.0,0.0,0.0,0.0,22366.9,0.0,0.0,50603.6,9359.45,0.0,0.0,3325.32,0.0,0.0,0.0,0.0,2703.21,0.0,0.0,0.0,86498.2,94573.4,0.0,0.0,0.0,1054.73,2664.28,0.0,324.725,431.793,0.0,1265.35,1253.75,4209.62,0.0,0.0,698.945,109.553,0.0,0.0,0.0,0.0,6152.79,25164.1,0.0,719.862,0.0,0.0,0.0,4873.56,3918.65,0.0,819.06,4500.17,2315.74,0.0,8336.81,1949.59,6431.54,0.0,0.0,0.0,11756.6,0.0,0.0,0.0,0.0,0.0,4353.76,0.0,0.0,0.0,0.0,210.408,441.733,475.904,0.0,462.443,0.0,0.0,0.0,0.0,1225.17,602.646,0.0,0.0,561.641,0.0,1315.26,3243.73,0.0,36552.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2946.75,0.0,12115.7,0.0,0.0,26.5081,0.0,63.5781,0.0,1470.79,3435.5,724.832,764.594,0.0,0.0,29204.7,0.0,0.0,238975.0,102.719,1496.47,2736.34,0.0,230755.0,11679.9,0.0,4037.32,26098.3,0.0,11805.2,16886.3,75005.6,0.0,2255.06,50661.6,0,0.0,16442.3,0.0,0.0,708.057,0.0,0.0,0.0,0.0,0.0,0.0,5059.54,1205.71,12355.7,0.0,1447.8,9892.09,36.4487,1803.18,296.353,16961.9,646.136,1394.37,0.0,0.0,80938.9,0.0,165.469,0.0,0.0,3045.95,0.0,3706.79,8163.68,5780.64,656.698,4358.93,1387.12,485.223,39589.1,212.686,0.0,0.0,0.0,0.0,0.0,18640.2,26957.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.111,0.0,148474.0,49170.7,152285.0,0.0,0.0,0.0,0.0,307155.0
SC16,295.166,0.0,0.0,0.0,0.0,0.0,6600.53,214.548,0.0,42.9096,12822.9,0.0,0.0,0.0,0.0,0.0,0.0,1227.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55423.6,109.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3551.87,0.0,0.0,0.0,215992.0,280876.0,0.0,100.903,164.097,0.0,2957.12,0.0,325.333,0.0,0.0,0.0,1850.05,4167.69,0.0,0.0,108493.0,0.0,0.0,0.0,0.0,0.0,2577.96,91.2804,0.0,0.0,0.0,0.0,0.0,5371.5,4401.48,0.0,674.591,822.564,3121.48,0.0,2603.7,240.034,4341.93,136.531,0.0,0.0,54416.4,0.0,0.0,2711.89,0.0,0.0,13622.4,0.0,0.0,0.0,0.0,0.0,92.0606,726.602,62.1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588.95,0.0,0.0,28409.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.53,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2787.56,0.0,8819.61,0.0,0.0,0.0,0.0,0.0,0.0,393.468,408.291,37.9685,896.68,409.592,0.0,18931.4,0.0,2219.34,632256.0,0.0,0.0,918.265,0.0,482774.0,63.4542,0.0,2793.02,13371.1,0.0,8136.7,4080.57,0.0,0.0,28.3463,23015.4,0,0.0,1384.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.21,5082.06,9949.04,0.0,0.0,13352.7,0.0,0.0,0.0,20460.9,0.0,0.0,0.0,0.0,11461.0,0.0,0.0,0.0,0.0,1582.97,0.0,62.9341,545.602,2075.52,3533.67,2884.56,0.0,0.0,54597.4,419.214,0.0,0.0,0.0,0.0,0.0,20629.1,13728.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44074.6,27349.3,30310.6,0.0,0.0,0.0,0.0,309092.0
SC18,5076.03,0.0,0.0,0.0,0.0,0.0,6794.42,77.6493,0.0,0.0,605.622,0.0,0.0,0.0,0.0,0.0,0.0,305.126,0.0,0.0,0.0,0.0,0.0,344.477,800.693,0.0,0.0,27245.2,2641.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5904.5,0.0,0.0,0.0,1071.73,1103.71,0.0,0.0,0.0,0.0,917.693,0.0,47.768,0.0,0.0,0.0,0.0,3440.98,0.0,0.0,3385.85,0.0,0.0,0.0,0.0,0.0,2526.44,28503.2,79.3328,0.0,0.0,0.0,0.0,1913.67,3022.22,0.0,2991.29,945.259,655.916,0.0,2077.38,0.0,2051.92,0.0,0.0,0.0,6615.13,0.0,0.0,0.0,364.678,0.0,3116.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.804,0.0,0.0,0.0,186.232,0.0,0.0,37827.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.759,0,0.0,4565.53,0.0,2074.44,0.0,0.0,0.0,0.0,62.4982,0.0,1220.5,2016.78,6615.13,287.871,641.606,0.0,0.0,0.0,5153.68,795920.0,0.0,0.0,0.0,0.0,171983.0,0.0,0.0,30618.9,2038.45,0.0,3178.78,3262.53,109116.0,0.0,0.0,317118.0,0,0.0,12178.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.02,1179.47,2007.94,0.0,0.0,8160.12,0.0,676.327,0.0,0.0,0.0,559.117,0.0,0.0,48605.1,0.0,23.5684,0.0,350.158,0.0,0.0,0.0,0.0,3272.0,8094.04,3666.35,0.0,0.0,81371.8,0.0,0.0,0.0,0.0,0.0,0.0,42975.6,14764.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101604.0,10578.4,20770.0,0.0,0.0,0.0,0.0,132542.0
SC20,3257.33,0.0,0.0,0.0,0.0,0.0,6583.04,0.0,0.0,1171.93,741.862,1005.34,0.0,36331.7,0.0,0.0,0.0,2096.49,0.0,0.0,0.0,0.0,0.0,8830.28,0.0,0.0,387.564,51735.0,23639.0,0.0,0.0,1370.47,0.0,0.0,0.0,0.0,6224.52,330.538,143.092,21069.7,0.0,93.1948,0.0,7855.82,1749.58,106.131,32410.7,1025.14,1411.12,0.0,511.119,899.739,856.97,6157.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10305.3,27444.2,0.0,1590.65,0.0,27.7208,0.0,16824.2,46194.8,0.0,2995.96,4699.61,10625.3,0.0,10279.4,214.903,8352.95,36.6971,0.0,1313.97,69444.7,0.0,0.0,520.096,0.0,0.0,29140.9,0.0,0.0,0.0,0.0,0.0,0.0,3675.26,0.0,1551.05,0.0,0.0,0.0,0.0,1797.63,0.0,0.0,0.0,0.0,0.0,3109.49,75.7703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31315.6,0.0,0.0,0.0,90.5547,0.0,685.365,0,7742.56,0.0,0.0,9830.6,0.0,0.0,353.771,0.0,1360.7,0.0,37424.5,4161.03,6298.17,6222.93,0.0,0.0,241975.0,0.0,18909.3,25599.5,0.0,6115.75,245.791,0.0,672204.0,0.0,0.0,71071.2,71130.6,668.468,26934.9,5846.99,120445.0,0.0,1622.33,6380.02,0,0.0,1127.84,0.0,0.0,332.122,0.0,0.0,0.0,1303.41,0.0,0.0,3264.72,125.14,138655.0,0.0,0.0,13061.3,2265.19,65.474,1511.71,11556.2,0.0,2680.74,0.0,1694.93,32523.4,0.0,1002.97,0.0,0.0,13811.8,3571.76,1499.04,2971.67,16384.9,30478.9,7609.24,0.0,1037.02,5830.35,0.0,0.0,0.0,0.0,0.0,0.0,6585.15,23900.9,0.0,0.0,0.0,0.0,0.0,0.0,897.099,0.0,0.0,0.0,1636.32,0.0,0.0,941.189,634.675,58.8738,24383.0,6160.36,71064.6,0.0,0.0,0.0,0.0,351859.0
